일자,룰유니버스_3년체인,SPY
2023-07-03,100.0,100.0
2023-07-10,101.9921,102.4467
2023-07-17,104.0984,103.108
2023-07-24,104.4119,104.1888
2023-07-31,101.7331,101.8835
2023-08-07,103.0816,101.619
2023-08-14,101.4363,99.5326
2023-08-21,100.6321,100.3238
2023-08-28,102.8877,102.8822
2023-09-05,101.3101,101.5893
2023-09-11,101.0496,101.0991
2023-09-18,98.8936,98.1462
2023-09-25,97.7374,97.4758
2023-10-02,95.8536,97.9455
2023-10-09,99.3901,98.3924
2023-10-16,97.3199,96.0415
2023-10-23,95.0678,93.645
2023-10-30,98.681,99.1198
2023-11-06,96.9405,100.4697
2023-11-13,99.3173,102.791
2023-11-20,100.1095,103.8194
2023-11-27,101.7566,104.6859
2023-12-04,100.9037,104.9367
2023-12-11,103.3484,107.0186
2023-12-18,104.8297,108.0036
2023-12-26,105.2249,108.3822
2024-01-02,104.6394,106.6971
2024-01-08,103.8007,108.6946
2024-01-16,102.1495,110.0057
2024-01-22,103.1813,111.1413
2024-01-29,103.4976,112.7237
2024-02-05,104.0684,114.2857
2024-02-12,105.3368,113.9004
2024-02-20,106.5322,115.8021
2024-02-26,107.7891,116.9422
2024-03-04,108.9768,116.6845
2024-03-11,107.9349,116.2536
2024-03-18,110.7501,118.8485
2024-03-25,113.4509,119.2726
2024-04-01,113.1942,118.2146
2024-04-08,110.8097,116.4861
2024-04-15,109.5406,112.9084
2024-04-22,110.973,115.8956
2024-04-29,111.9044,116.5865
2024-05-06,113.6009,118.7641
2024-05-13,115.207,120.7274
2024-05-20,115.3303,120.7251
2024-05-28,115.9658,120.2531
2024-06-03,114.3449,121.7672
2024-06-10,113.4044,123.767
2024-06-17,114.3707,124.1614
2024-06-24,113.439,124.0953
2024-07-01,112.8492,126.4713
2024-07-08,117.4248,127.6913
2024-07-15,117.6175,125.183
2024-07-22,121.2262,124.1455
2024-07-29,119.4762,121.5141
2024-08-05,118.7815,121.5346
2024-08-12,121.6795,126.3961
2024-08-19,123.2537,128.1792
2024-08-26,124.7421,128.5327
2024-09-03,119.8566,123.2151
2024-09-09,122.5456,128.1519
2024-09-16,124.3169,129.5747
2024-09-23,125.3255,130.309
2024-09-30,126.1154,130.6533
2024-10-07,125.8069,132.1582
2024-10-14,126.7564,133.3006
2024-10-21,123.4909,132.0351
2024-10-28,121.585,130.2109
2024-11-04,125.353,136.4018
2024-11-11,121.2674,133.5652
2024-11-18,124.682,135.7907
2024-11-25,125.7716,137.396
2024-12-02,121.5299,138.5954
2024-12-09,119.4471,137.7745
2024-12-16,115.4689,134.7965
2024-12-23,116.5375,135.6767
2024-12-30,116.79,134.9789
2025-01-06,115.4516,132.3658
2025-01-13,121.6421,136.2627
2025-01-21,121.9168,138.6319
2025-01-27,120.525,137.2295
2025-02-03,119.3384,136.9901
2025-02-10,118.9704,139.0263
2025-02-18,119.9015,136.8008
2025-02-24,121.2441,135.4874
2025-03-03,118.7557,131.3237
2025-03-10,118.9322,128.3343
2025-03-17,119.4167,128.6011
2025-03-24,118.8621,126.7039
2025-03-31,107.6011,115.2161
2025-04-07,111.8677,121.7512
2025-04-14,112.6754,120.0342
2025-04-21,114.662,125.5592
2025-04-28,117.3015,129.235
2025-05-05,116.4757,128.6832
2025-05-12,119.9616,135.492
2025-05-19,116.3624,132.0511
2025-05-27,118.0105,134.3952
2025-06-02,120.1444,136.6184
2025-06-09,121.685,136.1304
2025-06-16,119.7033,135.5102
2025-06-23,121.7867,140.2143
2025-06-30,124.3713,142.5926
2025-07-07,125.0498,142.2004
2025-07-14,125.3758,143.1034
2025-07-21,125.8794,145.2742
2025-07-28,124.9813,141.7672
2025-08-04,125.3176,145.2924
2025-08-11,127.1144,146.7199
2025-08-18,129.4216,147.1463
2025-08-25,128.8143,147.087
2025-09-02,128.9993,147.5864
2025-09-08,129.8736,149.9054
2025-09-15,131.1215,151.3396
2025-09-22,133.0064,150.911
2025-09-29,135.3024,152.5961
2025-10-06,131.506,148.9043
2025-10-13,132.5032,151.497
2025-10-20,135.0958,154.4294
2025-10-27,134.1375,155.5262
2025-11-03,133.4233,152.9974
2025-11-10,133.0561,153.2163
2025-11-17,131.9546,150.2748
2025-11-24,136.1462,155.8294
2025-12-01,135.4765,156.3539
2025-12-08,135.4712,155.4578
2025-12-15,134.4808,155.191
2025-12-22,136.6486,157.4074
2025-12-29,138.3901,155.7793
2026-01-05,138.6232,158.2647
2026-01-12,143.1514,157.7152
2026-01-20,144.0159,157.1611
2026-01-26,145.5265,157.7859
2026-02-02,150.0882,157.4781
2026-02-09,152.9848,155.4555
2026-02-17,155.5589,157.2067
2026-02-23,155.8538,156.4223
2026-03-02,150.5111,153.3189
2026-03-09,150.122,151.0181
2026-03-16,147.6613,147.8896
2026-03-23,150.303,144.5878
2026-03-30,152.3928,149.5451
2026-04-06,154.3845,154.9333
2026-04-13,153.3024,161.9291
2026-04-20,153.5819,162.7956
2026-04-27,155.519,164.3256
2026-05-04,153.9209,168.1952
2026-05-11,157.1041,168.5486
2026-05-18,162.7504,170.0239
2026-05-26,162.1184,172.4957
2026-06-01,159.4717,168.1792
2026-06-08,161.5598,169.1369
2026-06-15,158.5093,170.2748
2026-06-22,161.9649,166.2273
2026-06-29,158.834,169.8278
2026-07-06,158.1713,172.1468
2026-07-13,154.4968,169.4881
2026-07-20,157.267,168.4939
2026-07-27,153.6043,166.3345
