일자,지수,SPY지수
2026-07-01,1000.0,1000.0
2026-07-02,1008.8311,998.6859
2026-07-06,1009.5169,1007.4018
2026-07-07,1013.0191,1002.6148
2026-07-08,1005.8236,999.5173
2026-07-09,999.9896,1007.9784
2026-07-10,1000.7004,1012.323
2026-07-13,999.9902,1004.5725
2026-07-14,1000.5028,1008.1393
2026-07-15,993.2275,1012.1353
2026-07-16,989.5524,1006.6509
2026-07-17,986.2156,996.6879
2026-07-20,981.9394,995.0788
2026-07-21,989.7055,1003.3791
2026-07-22,998.4691,1002.2125
2026-07-23,1009.7486,989.8359
2026-07-24,1011.3823,990.8416
2026-07-27,1003.3195,991.0561
2026-07-28,1005.1982,993.4295
2026-07-29,991.4403,978.1431
2026-07-30,1002.8436,994.5425
2026-07-31,1004.4331,1001.703
2026-08-03,1010.9771,1015.9703
